WORD: warrior, FREQ: 1
WORD: earl, FREQ: 1
WORD: wookiee, FREQ: 1
WORD: loyal, FREQ: 1
WORD: astromech, FREQ: 1
WORD: gonk, FREQ: 1
WORD: power, FREQ: 1
WORD: wise, FREQ: 1
WORD: centuries, FREQ: 1
WORD: self, FREQ: 1
WORD: exiled, FREQ: 1
WORD: assisted, FREQ: 1
WORD: performers, FREQ: 1
WORD: kathryn, FREQ: 1
WORD: mullen, FREQ: 1
WORD: barclay, FREQ: 1
WORD: froud, FREQ: 1
WORD: midener, FREQ: 1
WORD: deep, FREQ: 1
WORD: roy, FREQ: 1
WORD: jeremy, FREQ: 1
WORD: jason, FREQ: 1
WORD: cut, FREQ: 1
WORD: temuera, FREQ: 1
WORD: morrison, FREQ: 1
WORD: jango, FREQ: 1
WORD: commander, FREQ: 1
WORD: cody, FREQ: 1
WORD: cameo, FREQ: 1
WORD: officer, FREQ: 1
WORD: grabs, FREQ: 1
WORD: tells, FREQ: 1
WORD: avoid, FREQ: 1
WORD: doubling, FREQ: 1
WORD: actors, FREQ: 1
WORD: portray, FREQ: 1
WORD: evil, FREQ: 1
WORD: ruler, FREQ: 1
WORD: powerful, FREQ: 1
WORD: hologram, FREQ: 1
WORD: marjorie, FREQ: 1
WORD: eaton, FREQ: 1
WORD: physical, FREQ: 1
WORD: filmed, FREQ: 1
WORD: makeup, FREQ: 1
WORD: superimposed, FREQ: 1
WORD: chimpanzee, FREQ: 1
WORD: alec, FREQ: 1
WORD: guinness, FREQ: 1
WORD: briefly, FREQ: 1
WORD: deceased, FREQ: 1
WORD: guides, FREQ: 1
WORD: denis, FREQ: 1
WORD: lawson, FREQ: 1
WORD: reprises, FREQ: 1
WORD: hollis, FREQ: 1
WORD: lobot, FREQ: 1
WORD: personal, FREQ: 1
WORD: aide, FREQ: 1
WORD: julian, FREQ: 1
WORD: glover, FREQ: 1
WORD: veers, FREQ: 1
WORD: kenneth, FREQ: 1
WORD: colley, FREQ: 1
WORD: piett, FREQ: 1
WORD: sheard, FREQ: 1
WORD: ozzel, FREQ: 1
WORD: culver, FREQ: 1
WORD: needa, FREQ: 1
WORD: captains, FREQ: 1
WORD: failed, FREQ: 1
WORD: catch, FREQ: 1
WORD: ratzenberger, FREQ: 1
WORD: derlin, FREQ: 1
WORD: officers, FREQ: 1
WORD: boa, FREQ: 1
WORD: rieekan, FREQ: 1
WORD: military, FREQ: 1
WORD: advisor, FREQ: 1
WORD: christopher, FREQ: 1
WORD: malcolm, FREQ: 1
WORD: pilot, FREQ: 1
WORD: zev, FREQ: 1
WORD: senesca, FREQ: 1
WORD: finds, FREQ: 1
WORD: surface, FREQ: 1
WORD: dak, FREQ: 1
WORD: gunner, FREQ: 1
WORD: austen, FREQ: 1
WORD: jim, FREQ: 1
WORD: dowdall, FREQ: 1
WORD: durrant, FREQ: 1
WORD: egeland, FREQ: 1
WORD: flyng, FREQ: 1
WORD: liston, FREQ: 1
WORD: robinson, FREQ: 1
WORD: tony, FREQ: 1
WORD: smart, FREQ: 1
WORD: diamond, FREQ: 1
